side,symbol,shares,price,date,state
buy,PD,1.00000000,30.19000000,2020-06-22T12:58:09.520000Z,filled
sell,HYRE,3.00000000,2.88000000,2020-06-22T12:58:09.100000Z,filled
sell,SWN,1.00000000,2.81000000,2020-06-22T12:58:10.622000Z,filled
sell,BUD,0.00000000,,2020-06-26T15:55:53.925000Z,cancelled
sell,UBER,1.00000000,33.15000000,2020-06-23T12:58:11.947000Z,filled
buy,IDEX,0.00000000,,2020-06-22T22:01:10.407000Z,cancelled
buy,SIRI,1.00000000,5.96000000,2020-06-19T20:38:50.746000Z,filled
buy,DBX,4.00000000,23.24750000,2020-06-19T17:20:42.937000Z,filled
buy,IDEX,2.00000000,2.11000000,2020-06-19T16:45:50.048000Z,filled
sell,DAL,1.00000000,29.99000000,2020-06-19T17:06:44.874000Z,filled
buy,PLUG,3.00000000,5.41000000,2020-06-19T13:30:06.305000Z,filled
buy,DGII,5.00000000,10.62000000,2020-06-19T13:30:01.060000Z,filled
sell,GRAF,2.00000000,15.00000000,2020-06-19T14:17:17.817000Z,filled
buy,GSAT,8.00000000,0.42750000,2020-06-19T13:30:02.327000Z,filled
sell,DBX,2.00000000,23.15000000,2020-06-19T13:30:01.677000Z,filled
sell,FIT,1.00000000,6.21000000,2020-06-19T13:30:01.873000Z,filled
buy,DJD,2.00000000,35.10000000,2020-06-19T13:30:00.349000Z,filled
buy,BUD,1.00000000,52.48000000,2020-06-19T13:30:01.102000Z,filled
buy,HEINY,1.00000000,48.29000000,2020-06-19T13:30:00.105000Z,filled
buy,VBIV,4.00000000,2.83000000,2020-06-19T13:30:01.636000Z,filled
sell,HYRE,3.00000000,2.88000000,2020-06-19T13:30:01.641000Z,filled
buy,IDEX,4.00000000,2.04000000,2020-06-18T17:24:48.581000Z,filled
sell,IDEX,5.00000000,1.91000000,2020-06-18T16:59:55.660000Z,filled
sell,GNUS,4.00000000,2.83000000,2020-06-18T16:32:11.105000Z,filled
sell,DAL,0.00000000,,2020-06-18T20:25:03.831000Z,cancelled
buy,GNUS,4.00000000,2.94000000,2020-06-18T13:30:00.508000Z,filled
buy,APLE,2.00000000,10.63000000,2020-06-18T13:30:00.941000Z,filled
sell,TMUS,1.00000000,105.00000000,2020-06-18T13:40:39.680000Z,filled
buy,SWCH,1.00000000,18.17000000,2020-06-18T13:30:01.206000Z,filled
buy,GRAF,2.00000000,14.89000000,2020-06-18T13:30:30.591000Z,filled
buy,GRAF,0.00000000,,2020-06-18T02:03:58.715534Z,cancelled
sell,IDEX,7.00000000,2.00000000,2020-06-18T16:46:03.737000Z,filled
buy,IDEX,7.00000000,2.17000000,2020-06-18T13:30:01.133000Z,filled
buy,HEXO,4.00000000,0.84750000,2020-06-18T13:30:01.458000Z,filled
sell,BDJ,0.00000000,,2020-06-29T21:45:10.201000Z,cancelled
buy,GNUS,0.00000000,,2020-06-17T22:00:08.490000Z,cancelled
buy,GNUS,0.00000000,,2020-06-30T16:31:08.955000Z,cancelled
buy,BDJ,4.00000000,7.52500000,2020-06-16T17:42:20.749000Z,filled
buy,DAL,1.00000000,31.34000000,2020-06-16T17:41:47.579000Z,filled
buy,SIRI,4.00000000,6.02750000,2020-06-16T17:39:05.989000Z,filled
buy,UBER,1.00000000,33.54000000,2020-06-16T17:38:25.309000Z,filled
buy,DBX,1.00000000,22.40000000,2020-06-16T17:25:09.050000Z,filled
sell,GNUS,2.00000000,3.85500000,2020-06-16T14:39:16.704000Z,filled
sell,LYFT,1.00000000,36.21000000,2020-06-15T18:47:16.456000Z,filled
